Index,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
1089,2020/11/11,139.00,0,147.00,133.00,133.00,"3,065","425,175.00"
1090,2020/11/10,139.00,1.46,143.00,131.00,131.00,"7,145","988,480.00"
1091,2020/11/09,137.00,-4.86,144.00,137.00,144.00,"11,206","1,561,047.00"
1092,2020/11/08,144.00,5.11,144.00,133.00,136.00,"23,345","3,284,875.00"
1093,2020/11/05,137.00,8.73,138.00,120.00,120.00,"19,370","2,564,490.00"
1094,2020/11/04,126.00,-0.79,128.00,125.00,126.00,"2,050","258,810.00"
1095,2020/11/03,127.00,-2.31,130.00,124.00,128.00,"3,660","464,130.00"
1096,2020/11/02,130.00,0,131.00,128.00,131.00,"3,330","427,980.00"
1097,2020/11/01,130.00,3.17,132.00,122.00,124.00,"5,990","767,350.00"
1098,2020/10/29,126.00,0.8,129.00,121.00,123.00,"6,131","752,425.00"
1099,2020/10/28,125.00,-2.34,130.00,122.00,129.00,"3,900","486,480.00"
1100,2020/10/22,128.00,-1.54,130.00,126.00,128.00,"2,758","352,757.00"
1101,2020/10/21,130.00,-3.7,137.00,127.00,135.00,"13,580","1,772,198.00"
1102,2020/10/20,135.00,8.87,136.00,124.00,124.00,"18,805","2,445,249.00"
1103,2020/10/19,124.00,9.73,124.00,112.00,113.00,"5,434","676,282.00"
1104,2020/10/18,113.00,-4.24,119.00,113.00,117.00,"3,645","423,535.00"
1105,2020/10/15,118.00,2.61,121.00,113.00,117.00,"4,390","509,020.00"
1106,2020/10/14,115.00,-7.26,124.00,113.00,122.00,"13,332","1,551,755.00"
1107,2020/10/13,124.00,-6.77,132.00,122.00,131.00,"9,449","1,185,746.00"
1108,2020/10/12,133.00,0.76,134.00,126.00,131.00,"12,155","1,577,790.00"
1109,2020/10/11,132.00,-3.65,140.00,132.00,135.00,"13,495","1,815,535.00"
1110,2020/10/08,137.00,-5.52,155.00,137.00,145.00,"20,475","2,933,625.00"
1111,2020/10/07,145.00,9.85,145.00,128.00,132.00,"25,855","3,658,478.00"
1112,2020/10/06,132.00,7.32,132.00,117.00,122.00,"17,591","2,219,212.00"
1113,2020/10/05,123.00,1.65,123.00,112.00,119.00,"18,352","2,144,636.00"
1114,2020/10/04,115.00,-6.5,123.00,111.00,123.00,"13,467","1,549,578.00"
1115,2020/10/01,123.00,0.82,134.00,118.00,125.00,"18,391","2,369,344.00"
1116,2020/09/30,122.00,9.91,122.00,112.00,112.00,"19,784","2,397,515.00"
1117,2020/09/29,111.00,9.9,111.00,97.00,100.00,"21,670","2,330,825.00"
1118,2020/09/28,101.00,-2.88,106.00,96.00,106.00,"6,953","698,844.00"
1119,2020/09/27,104.00,9.47,104.00,95.00,95.00,"13,525","1,401,365.00"
1120,2020/09/24,95.00,9.2,95.00,87.00,87.00,"4,182","396,153.00"
1121,2020/09/23,87.00,1.16,88.00,84.00,85.00,"2,590","219,990.00"
1122,2020/09/22,86.00,-9.47,95.00,86.00,91.00,"4,996","463,762.00"
1123,2020/09/21,95.00,-9.52,103.00,95.00,103.00,"3,715","355,655.00"
1124,2020/09/20,105.00,9.37,105.00,97.00,97.00,"27,434","2,817,856.00"
1125,2020/09/17,96.00,9.09,96.00,89.00,89.00,"3,150","318,780.00"
1126,2020/09/16,88.00,10,88.00,80.00,80.00,"4,083","348,614.00"
1127,2020/09/15,80.00,9.59,80.00,74.00,74.00,"6,017","572,436.00"
1128,2020/09/14,73.00,8.96,73.00,66.00,66.00,"8,540","624,260.00"
1129,2020/09/13,67.00,0,68.00,66.00,66.00,"1,710","115,540.00"
1130,2020/09/10,67.00,0,69.00,66.00,66.00,960,"64,960.00"
1131,2020/09/09,67.00,3.08,67.00,64.00,64.00,"1,460","94,280.00"
1132,2020/09/08,65.00,-4.41,68.00,64.00,67.00,"2,075","136,815.00"
1133,2020/09/07,68.00,-6.85,72.00,67.00,72.00,"1,420","97,130.00"
